time,air-temp-max-degc,rainfall-mm,relative-humidity-max-pct,wind-speed-max-ms
2/1/2022 0:00,8.22,0,88.8,1.993
2/1/2022 0:10,8.02,0,87.4,3.234
2/1/2022 0:20,7.068,0,88.8,3.299
2/1/2022 0:30,7.238,0,89.2,2.809
2/1/2022 0:40,7.547,0,89.4,1.176
2/1/2022 0:50,7.99,0,89.4,2.091
2/1/2022 1:00,8.5,0,89.5,2.515
2/1/2022 1:10,7.855,0,88.7,3.855
2/1/2022 1:20,7.207,0,89.1,4.247
2/1/2022 1:30,7.956,0,88,3.887
2/1/2022 1:40,7.617,0,85.6,1.895
2/1/2022 1:50,7.754,0,85.6,2.123
2/1/2022 2:00,7.822,0,84.1,1.699
2/1/2022 2:10,7.211,0,86.3,2.515
2/1/2022 2:20,7.143,0,86.5,2.319
2/1/2022 2:30,7.619,0,85.2,1.503
2/1/2022 2:40,7.415,0,84.6,1.993
2/1/2022 2:50,7.279,0,84.6,2.45
2/1/2022 3:00,6.599,0,87.6,2.613
2/1/2022 3:10,6.735,0,88.5,3.855
2/1/2022 3:20,6.667,0,90.1,3.365
2/1/2022 3:30,6.463,0,89.5,3.332
2/1/2022 3:40,6.122,0,90.8,2.646
2/1/2022 3:50,6.463,0,92.4,1.96
2/1/2022 4:00,6.633,0,92.9,2.613
2/1/2022 4:10,6.939,0,92.5,2.45
2/1/2022 4:20,6.667,0,92.6,2.548
2/1/2022 4:30,6.667,0,93.2,2.352
2/1/2022 4:40,6.803,0,93.1,2.417
2/1/2022 4:50,6.735,0,93.8,2.156
2/1/2022 5:00,7.313,0,93.9,2.548
2/1/2022 5:10,7.075,0,94.3,4.018
2/1/2022 5:20,6.258,0,95.4,3.92
2/1/2022 5:30,7.619,0,95.4,2.613
2/1/2022 5:40,7.415,0,92.7,2.548
2/1/2022 5:50,7.687,0,92.2,3.071
2/1/2022 6:00,6.531,0,91.9,2.809
2/1/2022 6:10,6.395,0,91.7,3.855
2/1/2022 6:20,6.19,0,94.6,3.201
2/1/2022 6:30,7.959,0,94.7,3.822
2/1/2022 6:40,7.483,0,93.4,3.103
2/1/2022 6:50,7.211,0,92.4,3.103
2/1/2022 7:00,7.075,0,91.3,2.973
2/1/2022 7:10,6.803,0,90.6,3.103
2/1/2022 7:20,5.85,0,89.7,2.842
2/1/2022 7:30,6.599,0,88.7,2.907
2/1/2022 7:40,7.143,0,81.1,3.855
2/1/2022 7:50,6.871,0,83.3,3.561
2/1/2022 8:00,6.531,0,82.3,3.234
2/1/2022 8:10,6.599,0,82.6,2.581
2/1/2022 8:20,7.823,0,76.46,1.96
2/1/2022 8:30,7.891,0,77.28,3.463
2/1/2022 8:40,8.78,0,71.02,2.907
2/1/2022 8:50,10.06,0,61.29,3.43
2/1/2022 9:00,10.54,0,45.23,3.626
2/1/2022 9:10,11.04,0,41.9,3.136
2/1/2022 9:20,11.68,0,39.17,3.201
2/1/2022 9:30,12.09,0,42.77,2.679
2/1/2022 9:40,12.16,0,37.95,3.561
2/1/2022 9:50,12.09,0,36.18,3.659
2/1/2022 10:00,12.62,0,37.46,2.646
2/1/2022 10:10,12.89,0,43.44,2.025
2/1/2022 10:20,12.69,0,40.93,5.292
2/1/2022 10:30,12.21,0,41.57,4.639
2/1/2022 10:40,11.97,0,51.12,6.011
2/1/2022 10:50,11.73,0,54.72,5.39
2/1/2022 11:00,11.8,0,52.89,4.9
2/1/2022 11:10,12.72,0,51.46,6.337
2/1/2022 11:20,13.16,0,48.47,8
2/1/2022 11:30,14.18,0,26.04,7.35
2/1/2022 11:40,14.11,0,24.34,6.795
2/1/2022 11:50,14.38,0,25.08,8.04
2/1/2022 12:00,14.59,0,25.76,10.13
2/1/2022 12:10,14.66,0,26.17,9.05
2/1/2022 12:20,15,0,26.24,7.644
2/1/2022 12:30,14.93,0,25.08,8.79
2/1/2022 12:40,14.93,0,25.97,8.59
2/1/2022 12:50,14.93,0,27.12,11.43
2/1/2022 13:00,14.93,0,30.38,7.317
2/1/2022 13:10,15.4,0,27.19,8.66
2/1/2022 13:20,15.16,0,26.51,9.28
2/1/2022 13:30,15.47,0,24.88,7.383
2/1/2022 13:40,15.6,0,24.95,7.154
2/1/2022 13:50,15.4,0,24.2,7.023
2/1/2022 14:00,15.94,0,27.12,8.46
2/1/2022 14:10,15.6,0,23.72,6.795
2/1/2022 14:20,16.35,0,26.78,5.227
2/1/2022 14:30,16.41,0,23.79,9.18
2/1/2022 14:40,16.01,0,22.97,7.807
2/1/2022 14:50,16.11,0,24.06,9.54
2/1/2022 15:00,15.87,0,21.07,8.69
2/1/2022 15:10,15.94,0,21.21,8.07
2/1/2022 15:20,16.01,0,21.14,10.06
2/1/2022 15:30,15.94,0,20.59,6.795
2/1/2022 15:40,16.21,0,21.61,7.971
2/1/2022 15:50,15.8,0,20.25,7.481
2/1/2022 16:00,15.87,0,20.8,6.958
2/1/2022 16:10,15.9,0,21.27,6.076
2/1/2022 16:20,16.01,0,22.97,5.129
2/1/2022 16:30,15.87,0,23.82,4.214
2/1/2022 16:40,15.73,0,21.48,4.475
2/1/2022 16:50,15.53,0,21.82,3.299
2/1/2022 17:00,15.6,0,23.45,2.842
2/1/2022 17:10,15.26,0,21.95,4.9
2/1/2022 17:20,15.06,0,21.68,3.724
2/1/2022 17:30,14.72,0,21.41,2.515
2/1/2022 17:40,14.59,0,24.95,4.149
2/1/2022 17:50,14.08,0,23.86,4.606
2/1/2022 18:00,14.08,0,27.33,4.998
2/1/2022 18:10,13.16,0,25.9,4.247
2/1/2022 18:20,13.2,0,28.01,3.985
2/1/2022 18:30,13.37,0,33.38,3.463
2/1/2022 18:40,13.16,0,30.32,5.847
2/1/2022 18:50,12.62,0,30.12,4.345
2/1/2022 19:00,13.34,0,27.57,4.573
2/1/2022 19:10,12.69,0,30.05,4.149
2/1/2022 19:20,13.38,0,29.17,5.096
2/1/2022 19:30,13.38,0,27.13,4.769
2/1/2022 19:40,12.84,0,31.42,3.169
2/1/2022 19:50,11.89,0,38.83,3.267
2/1/2022 20:00,12.47,0,38.08,5.259
2/1/2022 20:10,12.09,0,35.43,3.855
2/1/2022 20:20,11.99,0,44.07,3.005
2/1/2022 20:30,12.64,0,44.13,5.325
2/1/2022 20:40,12.43,0,35.5,4.443
2/1/2022 20:50,12.67,0,36.72,3.169
2/1/2022 21:00,12.7,0,32.23,3.953
2/1/2022 21:10,13.25,0,28.02,3.659
2/1/2022 21:20,13.25,0,28.63,3.005
2/1/2022 21:30,13.79,0,26.11,3.985
2/1/2022 21:40,13.45,0,28.94,1.993
2/1/2022 21:50,13.55,0,22.58,3.822
2/1/2022 22:00,13.66,0,19.99,4.247
2/1/2022 22:10,12.87,0,19.45,3.92
2/1/2022 22:20,13.18,0,19.31,3.887
2/1/2022 22:30,12.91,0,21.01,5.227
2/1/2022 22:40,12.91,0,21.15,4.443
2/1/2022 22:50,12.43,0,22.58,4.443
2/1/2022 23:00,12.98,0,21.42,4.9
2/1/2022 23:10,12.98,0,19.18,4.247
2/1/2022 23:20,13.18,0,28.7,3.267
2/1/2022 23:30,13.38,0,30.74,2.973
2/1/2022 23:40,12.33,0,27.41,4.149
2/1/2022 23:50,13.04,0,29.72,3.561
2/2/2022 0:00,12.64,0,29.65,2.679
2/2/2022 0:10,12.43,0,23.87,5.619
2/2/2022 0:20,12.64,0,19.59,5.129
2/2/2022 0:30,12.91,0,19.72,5.913
2/2/2022 0:40,13.52,0,18.29,6.501
2/2/2022 0:50,13.52,0,18.02,6.174
2/2/2022 1:00,13.15,0,18.5,4.247
2/2/2022 1:10,12.84,0,18.63,3.757
2/2/2022 1:20,12.7,0,19.18,3.136
2/2/2022 1:30,12.16,0,28.7,1.633
2/2/2022 1:40,12.06,0,27.81,1.437
2/2/2022 1:50,12.33,0,19.86,1.666
2/2/2022 2:00,12.13,0,20.4,3.136
2/2/2022 2:10,12.19,0,20.27,3.038
2/2/2022 2:20,12.5,0,20.13,3.659
2/2/2022 2:30,12.67,0,20.4,5.063
2/2/2022 2:40,12.91,0,18.97,3.887
2/2/2022 2:50,12.84,0,23.84,3.855
2/2/2022 3:00,12.91,0,25.64,2.287
2/2/2022 3:10,12.84,0,28.49,3.691
2/2/2022 3:20,13.11,0,23.9,3.071
2/2/2022 3:30,13.59,0,27.54,4.116
2/2/2022 3:40,13.79,0,32.1,4.9
2/2/2022 3:50,13.86,0,24.55,4.181
2/2/2022 4:00,13.79,0,25.16,4.377
2/2/2022 4:10,14,0,23.6,7.448
2/2/2022 4:20,14.13,0,18.57,8.36
2/2/2022 4:30,14.2,0,14.96,12.15
2/2/2022 4:40,14.3,0,14.89,12.67
2/2/2022 4:50,14.4,0,15.1,15.97
2/2/2022 5:00,14.13,0,15.84,13.2
2/2/2022 5:10,14.27,0,15.71,15.91
2/2/2022 5:20,14.12,0,15.91,14.44
2/2/2022 5:30,14.12,0,15.94,12.97
2/2/2022 5:40,14.25,0,15.64,12.58
2/2/2022 5:50,14.12,0,16.08,14.67
2/2/2022 6:00,13.98,0,16.32,12.32
2/2/2022 6:10,13.88,0,16.86,14.34
2/2/2022 6:20,13.84,0,17.06,12.9
2/2/2022 6:30,13.91,0,16.86,13.13
2/2/2022 6:40,13.98,0,16.93,14.28
2/2/2022 6:50,14.05,0,17,15.03
2/2/2022 7:00,13.91,0,17.34,14.5
2/2/2022 7:10,13.77,0,18.56,12.18
2/2/2022 7:20,13.71,0,19.31,9.05
2/2/2022 7:30,13.64,0,19.31,9.6
2/2/2022 7:40,13.91,0,18.9,11.37
2/2/2022 7:50,13.98,0,18.49,15.84
2/2/2022 8:00,13.98,0,18.02,14.47
2/2/2022 8:10,13.98,0,18.36,10.98
2/2/2022 8:20,14.05,0,21.01,10.09
2/2/2022 8:30,13.98,0,20.4,7.383
2/2/2022 8:40,14.05,0,23.96,8.3
2/2/2022 8:50,14.25,0,22.5,6.207
2/2/2022 9:00,14.45,0,23.59,7.023
2/2/2022 9:10,14.39,0,21.96,9.38
2/2/2022 9:20,14.69,0,22.64,8.1
2/2/2022 9:30,14.86,0,22.98,6.109
2/2/2022 9:40,14.96,0,23.52,8.72
2/2/2022 9:50,15.2,0,22.77,9.44
2/2/2022 10:00,15.2,0,22.3,9.51
2/2/2022 10:10,15.2,0,19.75,10.81
2/2/2022 10:20,15.27,0,19.85,11.89
2/2/2022 10:30,15.54,0,20.53,9.67
2/2/2022 10:40,15.81,0,21.48,8.75
2/2/2022 10:50,15.74,0,21.69,8.33
2/2/2022 11:00,15.81,0,22.5,9.93
2/2/2022 11:10,15.74,0,20.33,11.11
2/2/2022 11:20,15.87,0,20.66,10.88
2/2/2022 11:30,15.74,0,20.12,11.4
2/2/2022 11:40,15.94,0,20.97,12.81
2/2/2022 11:50,16.28,0,21.04,10.58
2/2/2022 12:00,16.41,0,20.66,8.46
2/2/2022 12:10,16.55,0,20.46,10.13
2/2/2022 12:20,16.75,0,20.66,10
2/2/2022 12:30,17.03,0,19.3,8.62
2/2/2022 12:40,16.72,0,18.62,8.69
2/2/2022 12:50,16.96,0,18.76,9.83
2/2/2022 13:00,16.79,0,18.08,12.67
2/2/2022 13:10,17.06,0,18.42,11.43
2/2/2022 13:20,16.89,0,17.6,9.54
2/2/2022 13:30,17.23,0,17.88,9.44
2/2/2022 13:40,17.77,0,19.3,7.611
2/2/2022 13:50,17.64,0,17.4,8
2/2/2022 14:00,17.3,0,18.35,10.42
2/2/2022 14:10,17.23,0,18.08,9.31
2/2/2022 14:20,17.37,0,17.81,8.85
2/2/2022 14:30,17.37,0,16.92,9.51
2/2/2022 14:40,17.37,0,17.54,10.03
2/2/2022 14:50,17.37,0,17.98,7.252
2/2/2022 15:00,17.64,0,17.6,7.775
2/2/2022 15:10,17.6,0,20.66,8.59
2/2/2022 15:20,17.23,0,17.6,11.89
2/2/2022 15:30,17.43,0,17.06,7.677
2/2/2022 15:40,17.64,0,17.84,5.651
2/2/2022 15:50,17.71,0,18.45,6.109
2/2/2022 16:00,17.23,0,17.26,6.827
2/2/2022 16:10,17.43,0,19.71,4.769
2/2/2022 16:20,17.23,0,17.2,7.023
2/2/2022 16:30,16.82,0,17.81,7.546
2/2/2022 16:40,16.82,0,18.22,4.704
2/2/2022 16:50,16.89,0,18.76,3.332
2/2/2022 17:00,16.79,0,19.37,3.593
2/2/2022 17:10,16.69,0,27.46,2.058
2/2/2022 17:20,16.48,0,25.22,5.357
2/2/2022 17:30,16.07,0,25.15,4.116
2/2/2022 17:40,16.01,0,21.07,4.116
2/2/2022 17:50,15.46,0,22.02,3.201
2/2/2022 18:00,15.2,0,22.02,1.862
2/2/2022 18:10,15.3,0,30.32,3.201
2/2/2022 18:20,15.44,0,25.08,3.169
2/2/2022 18:30,14.45,0,24.34,2.548
2/2/2022 18:40,14.72,0,24.41,1.176
2/2/2022 18:50,14.45,0,24.61,1.339
2/2/2022 19:00,14.73,0,24.24,1.47
2/2/2022 19:10,14.25,0,28.62,1.339
2/2/2022 19:20,12.62,0,32.43,1.927
2/2/2022 19:30,13.64,0,29.84,1.535
2/2/2022 19:40,13.03,0,28.15,1.503
2/2/2022 19:50,12.83,0,39.78,2.123
2/2/2022 20:00,11.61,0,39.37,2.058
2/2/2022 20:10,11.95,0,37.54,1.829
2/2/2022 20:20,11.48,0,36.86,1.111
2/2/2022 20:30,11.34,0,44.37,1.372
2/2/2022 20:40,11.38,0,47.33,1.437
2/2/2022 20:50,11.28,0,39.51,2.385
2/2/2022 21:00,11.11,0,41.96,2.45
2/2/2022 21:10,11.65,0,44,2.646
2/2/2022 21:20,10.29,0,46.92,1.699
2/2/2022 21:30,11.45,0,43.56,2.842
2/2/2022 21:40,11.96,0,42.3,2.319
2/2/2022 21:50,11,0,46.11,2.091
2/2/2022 22:00,11.28,0,46.04,3.561
2/2/2022 22:10,10.73,0,45.97,2.711
2/2/2022 22:20,10.66,0,47.06,2.548
2/2/2022 22:30,10.19,0,46.11,3.365
2/2/2022 22:40,10.15,0,45.19,2.711
2/2/2022 22:50,10.26,0,42.71,2.058
2/2/2022 23:00,10.36,0,51.55,3.136
2/2/2022 23:10,8.9,0,48.42,3.005
2/2/2022 23:20,8.83,0,44.61,3.724
2/2/2022 23:30,8.97,0,41.69,3.267
2/2/2022 23:40,9.58,0,43.33,3.757
2/2/2022 23:50,9.65,0,46.39,3.593
2/3/2022 0:00,9.04,0,47.47,3.561
2/3/2022 0:10,8.56,0,52.37,3.593
2/3/2022 0:20,8.97,0,54.89,3.561
2/3/2022 0:30,8.87,0,56.59,2.287
2/3/2022 0:40,9.11,0,57.27,2.287
2/3/2022 0:50,8.97,0,59.72,3.038
2/3/2022 1:00,8.67,0,59.79,3.365
2/3/2022 1:10,8.84,0,60.98,3.038
2/3/2022 1:20,8.7,0,60.81,2.94
2/3/2022 1:30,8.84,0,58.49,2.711
2/3/2022 1:40,8.77,0,59.41,3.626
2/3/2022 1:50,8.7,0,58.36,3.332
2/3/2022 2:00,8.43,0,59.92,3.103
2/3/2022 2:10,8.09,0,63.53,3.561
2/3/2022 2:20,6.863,0,65.57,3.267
2/3/2022 2:30,7.069,0,63.12,3.136
2/3/2022 2:40,7.207,0,63.4,3.234
2/3/2022 2:50,6.629,0,66.73,3.495
2/3/2022 3:00,7.21,0,67.07,3.724
2/3/2022 3:10,7.415,0,61.29,3.528
2/3/2022 3:20,7.007,0,57.21,3.626
2/3/2022 3:30,7.041,0,57.96,3.365
2/3/2022 3:40,7.483,0,54.42,3.267
2/3/2022 3:50,7.755,0,57.96,4.345
2/3/2022 4:00,8.98,0,57.35,3.887
2/3/2022 4:10,7.755,0,56.97,3.463
2/3/2022 4:20,7.619,0,50.82,3.103
2/3/2022 4:30,8.03,0,59.59,3.234
2/3/2022 4:40,7.347,0,60.68,2.417
2/3/2022 4:50,6.939,0,57.62,1.405
2/3/2022 5:00,6.871,0,57.21,3.234
2/3/2022 5:10,6.837,0,56.73,2.875
2/3/2022 5:20,6.327,0,59.25,2.94
2/3/2022 5:30,7.143,0,61.36,2.711
2/3/2022 5:40,6.633,0,59.76,1.633
2/3/2022 5:50,6.463,0,56.94,2.221
2/3/2022 6:00,6.599,0,57.76,2.483
2/3/2022 6:10,6.224,0,59.25,1.666
2/3/2022 6:20,6.599,0,61.77,1.503
2/3/2022 6:30,6.19,0,60.41,1.797
2/3/2022 6:40,5.714,0,63.2,1.797
2/3/2022 6:50,5.306,0,64.86,2.973
2/3/2022 7:00,5.17,0,70.14,3.005
2/3/2022 7:10,5.034,0,67.48,2.581
2/3/2022 7:20,4.456,0,69.93,2.613
2/3/2022 7:30,5.068,0,69.93,2.483
2/3/2022 7:40,5.578,0,66.67,2.156
2/3/2022 7:50,5.442,0,67.21,2.842
2/3/2022 8:00,6.327,0,67.21,2.875
2/3/2022 8:10,6.871,0,64.76,2.156
2/3/2022 8:20,8.03,0,63.74,1.96
2/3/2022 8:30,8.71,0,61.22,0.947
2/3/2022 8:40,9.69,0,60.14,1.993
2/3/2022 8:50,9.79,0,58.29,2.842
2/3/2022 9:00,9.72,0,57.41,3.887
2/3/2022 9:10,9.71,0,58.11,3.528
2/3/2022 9:20,9.71,0,58.69,4.018
2/3/2022 9:30,9.61,0,62.02,3.953
2/3/2022 9:40,9.64,0,63.92,3.397
2/3/2022 9:50,9.92,0,65.08,3.005
2/3/2022 10:00,10.46,0,63.65,2.809
2/3/2022 10:10,10.8,0,63.85,1.829
2/3/2022 10:20,10.79,0,65.07,2.221
2/3/2022 10:30,10.58,0,63.09,1.895
2/3/2022 10:40,11.46,0,61.12,1.143
2/3/2022 10:50,11.4,0,58.88,1.274
2/3/2022 11:00,11.53,0,55.95,1.372
